ticker,empresa,trimestre,total_ativos,total_passivos,patrimonio_liquido,caixa,divida_lp,divida_cp,receita,lucro_bruto,lucro_liquido,ebitda,var_total_ativos_pct,var_patrimonio_liquido_pct,var_caixa_pct,var_receita_pct,var_lucro_liquido_pct,var_ebitda_pct,margem_liquida_calc,margem_ebitda_calc,alavancagem,trimestres_lucro_positivo,saude,saude_texto
ABEV3.SA,AMBEV S/A   ON,2025-03-31,147298979000.0,51823085000.0,94528274000.0,19118354000.0,284778000.0,1120592000.0,22497378000.0,11551646000.0,,7155912000.0,,,,,,,,31.807759997631724,0.5482284062438292,,0,Risco
ABEV3.SA,AMBEV S/A   ON,2025-06-30,142157543000.0,48946586000.0,92471636000.0,16404025000.0,299234000.0,1100578000.0,20090194000.0,10044071000.0,,5689976000.0,-3.490476332493786,-2.1756855520285945,-14.197503613543304,-10.699842443861684,,-20.48566276387971,,28.322155575003404,0.5293145889621764,,0,Risco
ABEV3.SA,AMBEV S/A   ON,2025-09-30,140754995000.0,48026583000.0,92027435000.0,18309248000.0,264066000.0,1050685000.0,20847262000.0,10727257000.0,,7532961000.0,-0.9866152512216675,-0.4803645952581648,11.61436293836422,3.76834589053745,,32.390031170605994,,36.134054438419774,0.5218724503187555,,1,Atenção
ABEV3.SA,AMBEV S/A   ON,2025-12-31,145087200000.0,56312400000.0,87914100000.0,18638200000.0,256900000.0,1167300000.0,24807666000.0,13055426000.0,,8595651000.0,3.077833934063934,-4.469683415603187,1.7966439692116198,18.99723810253835,,14.107201670100245,,34.64917255819229,0.6405388896661628,,0,Risco
ABEV3.SA,AMBEV S/A   ON,2026-03-31,142760913000.0,51937254000.0,90125793000.0,17991875000.0,234228000.0,1104305000.0,22464480000.0,11582867000.0,3768263000.0,7150643000.0,-1.603371627545369,2.5157432084273124,-3.467743666233869,-9.44541094676138,,-16.810919847722992,16.774316610043947,31.830885914118646,0.5762751402364914,1.0,1,Atenção
ALLD3.SA,ALLIED      ON      NM,2025-03-31,3434695000.0,1833020000.0,1601675000.0,338083000.0,368728000.0,131874000.0,1197135000.0,146421000.0,15061000.0,51261000.0,,,,,,,1.2580870160842343,4.281973211041361,1.144439414987435,1.0,1,Atenção
ALLD3.SA,ALLIED      ON      NM,2025-06-30,3335841000.0,1836682000.0,1499159000.0,237030000.0,320613000.0,155569000.0,1392922000.0,149483000.0,15857000.0,54673000.0,-2.8781012578991683,-6.400549424820889,-29.889997426667414,16.35463001248816,5.2851736272491845,6.656132342326515,1.1383982735573133,3.9250582588256915,1.2251415627028222,2.0,1,Atenção
ALLD3.SA,ALLIED      ON      NM,2025-09-30,3775486000.0,2083769000.0,1691717000.0,617723000.0,385005000.0,97155000.0,1412852000.0,150490000.0,262604000.0,393966000.0,13.17943511096602,12.844401427733821,160.6096274733156,1.4308051707130787,1556.0761808664943,620.5860296672946,18.586801731533097,27.884449326610287,1.2317479814886296,3.0,2,Saudável
ALLD3.SA,ALLIED      ON      NM,2025-12-31,3369335000.0,1817567000.0,1551768000.0,375871000.0,353667000.0,88026000.0,1501711000.0,184099000.0,39190000.0,62246000.0,-10.757581937795557,-8.272601150192383,-39.15217662285523,6.289335330239831,-85.07638878311069,-84.20015940461867,2.609689880409746,4.145005263995536,1.1712878471524093,3.0,2,Saudável
ALLD3.SA,ALLIED      ON      NM,2026-03-31,3390300000.0,1852753000.0,1537547000.0,290420000.0,354502000.0,95864000.0,1159438000.0,158025000.0,24687000.0,59240000.0,0.6222296091068502,-0.9164385397817165,-22.73412952848185,-22.792201695266268,-37.00688951263077,-4.8292259743597965,2.129221226145771,5.1093719543433975,1.205005765677407,3.0,2,Saudável
